Model,Fold,R2,Adj_R2,MAE,RMSE,MSE
Linear Regression,1,0.893942,0.88467,0.048079,0.063014,0.003971
Linear Regression,2,0.858039,0.845628,0.050088,0.064175,0.004118
Linear Regression,3,0.865927,0.854205,0.051005,0.066364,0.004404
Linear Regression,4,0.888146,0.878366,0.050946,0.062812,0.003945
Linear Regression,5,0.84693,0.833546,0.057891,0.072247,0.00522
Random Forest,1,0.876695,0.865914,0.05222,0.067945,0.004617
Random Forest,2,0.833448,0.818886,0.055789,0.069512,0.004832
Random Forest,3,0.86402,0.852131,0.05134,0.066834,0.004467
Random Forest,4,0.880393,0.869936,0.05262,0.064953,0.004219
Random Forest,5,0.869398,0.857979,0.052378,0.066735,0.004454
Decision Tree,1,0.793925,0.775907,0.069802,0.087837,0.007715
Decision Tree,2,0.757678,0.736491,0.067315,0.083846,0.00703
Decision Tree,3,0.625284,0.592521,0.087343,0.110946,0.012309
Decision Tree,4,0.785674,0.766935,0.069875,0.086947,0.00756
Decision Tree,5,0.755641,0.734277,0.070843,0.091283,0.008333
XGBoost,1,0.883647,0.873474,0.051772,0.066002,0.004356
XGBoost,2,0.859266,0.846962,0.051843,0.063897,0.004083
XGBoost,3,0.866507,0.854836,0.051865,0.06622,0.004385
XGBoost,4,0.867262,0.855657,0.055396,0.068425,0.004682
XGBoost,5,0.876013,0.865173,0.052416,0.065022,0.004228
