Feature,Importance
Outcome,0.600909663308776
std_total_time,0.10947493727073052
Glucose,0.10545422471950544
Age,0.07095782183528802
mean_total_time,0.04825987406760545
mean_jerk_on_paper,0.017747324169185355
mean_pressure_var,0.010560199847266659
mean_gmrt_on_paper,0.00733747424531548
mean_speed_on_paper,0.006316684671636699
mean_pressure_mean,0.004373157170562798
DiabetesPedigreeFunction,0.0037399975524259883
BloodPressure,0.003317851087695628
BMI,0.003056147701969971
Pregnancies,0.0030156552735592004
Insulin,0.002896318841460466
SkinThickness,0.002582668237016458
